dataset,split,experiment_id,model,fast_adapter,seed,checkpoint_role,checkpoint,internal_epoch,test_votes,validation_miou_pct,fullcloud_miou_pct,status
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,129,,69.0846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,130,,68.6538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,131,,71.4615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,132,,66.6846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,133,,67.1384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,134,,72.6153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,135,,67.4538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,136,,67.1307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,137,,68.8000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,138,,66.2923077,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,139,,65.2538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,140,,68.8846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,141,,66.6461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,142,,67.1769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,143,,69.9615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,144,,72.6769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,145,,66.2307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,146,,69.2769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,147,,71.5076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,148,,67.7769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,149,,68.9307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,150,,71.4461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,151,,69.0230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,152,,68.2153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,153,,72.2076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,154,,70.1000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,155,,68.4307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,156,,72.3153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,157,,69.7076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,158,,68.3000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,best_validation,chkp_0160.tar,159,,73.0230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,160,,67.4153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,161,,67.3384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,162,,67.9461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,163,,67.4538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,164,,65.2230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,165,,69.3538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,166,,66.7615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,167,,65.3076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,168,,69.7307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,169,,71.9076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,170,,67.0153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,171,,69.5384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,172,,71.8846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,173,,67.0461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,174,,69.6076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,175,,70.9846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,176,,69.1615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,177,,68.7769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,178,,72.1000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,179,,67.0000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,180,,67.9230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,181,,71.4384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,182,,69.7230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,183,,67.3230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,184,,71.3923077,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,185,,67.2615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,186,,67.8692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,187,,67.3000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,188,,68.0076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,189,,67.8230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,190,,69.4846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,191,,67.4923077,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,192,,66.8076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,193,,67.5384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,194,,66.7769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,195,,66.3692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,196,,69.1230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,197,,71.8769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,198,,66.8769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,199,,69.0384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,200,,72.0538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,201,,67.2846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,202,,69.3846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,203,,70.8538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,204,,69.4846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,205,,69.3538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,206,,71.4692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,207,,69.5923077,,completed
